iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,param_subsample_freq,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1,15456,6.310299253463745,0.19354270779905874,0.40912508964538574,0.0016628231510509416,0.7103996728090174,0.06925470114081649,7,69,10000,103,0.9868869366005173,2.8167343078899725,3.0431888859825036,0.7173952698872152,1,"{'colsample_bytree': np.float64(0.7103996728090174), 'learning_rate': np.float64(0.06925470114081649), 'max_depth': 7, 'min_child_samples': 69, 'n_estimators': 10000, 'num_leaves': 103, 'reg_alpha': np.float64(0.9868869366005173), 'reg_lambda': np.float64(2.8167343078899725), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.7173952698872152), 'subsample_freq': 1}",0.8361778461144211,0.820129981501219,0.8308675245937136,0.8292559504323174,0.8253376278465276,0.8283537860976399,0.005386592048697738,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,5152,1.7656630516052245,0.02177769370469663,0.0461240291595459,0.0008066803664777733,0.7257423924305306,0.11171413823294056,8,27,10000,245,0.41038292303562973,2.766653415629146,3.0431888859825036,0.9771414282231924,1,"{'colsample_bytree': np.float64(0.7257423924305306), 'learning_rate': np.float64(0.11171413823294056), 'max_depth': 8, 'min_child_samples': 27, 'n_estimators': 10000, 'num_leaves': 245, 'reg_alpha': np.float64(0.41038292303562973), 'reg_lambda': np.float64(2.766653415629146), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.9771414282231924), 'subsample_freq': 1}",0.795916073067189,0.8112996018725117,0.7691191983122363,0.7894361313649172,0.7939553569940154,0.7919452723221738,0.013577357727762767,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,5152,2.716442680358887,0.04109314503407141,0.08896551132202149,0.0008814000819085046,0.7312610669898928,0.04100832334554884,8,26,10000,72,0.8604046183116753,1.2507540815475922,3.0431888859825036,0.9290402242638633,1,"{'colsample_bytree': np.float64(0.7312610669898928), 'learning_rate': np.float64(0.04100832334554884), 'max_depth': 8, 'min_child_samples': 26, 'n_estimators': 10000, 'num_leaves': 72, 'reg_alpha': np.float64(0.8604046183116753), 'reg_lambda': np.float64(1.2507540815475922), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.9290402242638633), 'subsample_freq': 1}",0.7979197829338713,0.811944912910411,0.7633206043499917,0.7830243712730101,0.796374867109336,0.790516907715324,0.01639545470844002,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,5152,3.6901710510253904,0.1316722663928761,0.10804076194763183,0.0006274823965849698,0.9977829850443283,0.045185050535469076,6,37,10000,156,0.3253996981592677,2.7394742153540723,3.0431888859825036,0.8976682092226249,1,"{'colsample_bytree': np.float64(0.9977829850443283), 'learning_rate': np.float64(0.045185050535469076), 'max_depth': 6, 'min_child_samples': 37, 'n_estimators': 10000, 'num_leaves': 156, 'reg_alpha': np.float64(0.3253996981592677), 'reg_lambda': np.float64(2.7394742153540723), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.8976682092226249), 'subsample_freq': 1}",0.7926046904451616,0.8135832860453502,0.7674234351293214,0.7797376722563507,0.7902632853431956,0.7887224738438758,0.015296283201248559,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,5152,3.0859846115112304,0.157454698397016,0.09843268394470214,0.002227190163099937,0.941203782186944,0.06888977841391714,7,36,10000,229,0.2684748568901568,1.9558396228289472,3.0431888859825036,0.82272050498334,1,"{'colsample_bytree': np.float64(0.941203782186944), 'learning_rate': np.float64(0.06888977841391714), 'max_depth': 7, 'min_child_samples': 36, 'n_estimators': 10000, 'num_leaves': 229, 'reg_alpha': np.float64(0.2684748568901568), 'reg_lambda': np.float64(1.9558396228289472), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.82272050498334), 'subsample_freq': 1}",0.7928603031021718,0.8078790438937684,0.7721996421623354,0.7776559381584471,0.7889157213753988,0.7879021297384243,0.012459859616001533,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,5152,4.156871175765991,0.03851404035600204,0.1196622371673584,0.0018846703231020399,0.6888431241882921,0.033973073466736566,6,28,10000,221,0.16829104217293056,1.1562926587192108,3.0431888859825036,0.881207583558071,1,"{'colsample_bytree': np.float64(0.6888431241882921), 'learning_rate': np.float64(0.033973073466736566), 'max_depth': 6, 'min_child_samples': 28, 'n_estimators': 10000, 'num_leaves': 221, 'reg_alpha': np.float64(0.16829104217293056), 'reg_lambda': np.float64(1.1562926587192108), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.881207583558071), 'subsample_freq': 1}",0.7825279124368698,0.8146492099273186,0.7694714941642795,0.7790850874774029,0.7917682116270826,0.7875003831265908,0.015335296929660347,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,5152,1.5402390003204345,0.01872159839167471,0.045911741256713864,0.0007057168580357982,0.6372411071223597,0.18944315159066538,7,36,10000,23,0.2788713525921819,2.601073489918314,3.0431888859825036,0.9588441039810308,1,"{'colsample_bytree': np.float64(0.6372411071223597), 'learning_rate': np.float64(0.18944315159066538), 'max_depth': 7, 'min_child_samples': 36, 'n_estimators': 10000, 'num_leaves': 23, 'reg_alpha': np.float64(0.2788713525921819), 'reg_lambda': np.float64(2.601073489918314), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.9588441039810308), 'subsample_freq': 1}",0.7883539563372022,0.8113652920276908,0.7746757088065075,0.7729213181386363,0.7856706800301518,0.7865973910680377,0.013759031299876818,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,5152,2.111397457122803,0.009125568890063362,0.0683143138885498,0.0008702453062833815,0.9744619096643123,0.14920595933499461,8,28,10000,128,0.6150072266991697,3.47016155031279,3.0431888859825036,0.7016654596278955,1,"{'colsample_bytree': np.float64(0.9744619096643123), 'learning_rate': np.float64(0.14920595933499461), 'max_depth': 8, 'min_child_samples': 28, 'n_estimators': 10000, 'num_leaves': 128, 'reg_alpha': np.float64(0.6150072266991697), 'reg_lambda': np.float64(3.47016155031279), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.7016654596278955), 'subsample_freq': 1}",0.7893206247608446,0.8006585654394889,0.770143628870499,0.7798586159200248,0.7909271948255715,0.7861817259632857,0.010384154472857524,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,5152,2.0804373741149904,0.019209995145504578,0.07152981758117676,0.0008223669773635134,0.7975182385457563,0.11454656587639882,9,94,10000,56,0.4393365018657701,1.1051576070061886,3.0431888859825036,0.8545641645055122,1,"{'colsample_bytree': np.float64(0.7975182385457563), 'learning_rate': np.float64(0.11454656587639882), 'max_depth': 9, 'min_child_samples': 94, 'n_estimators': 10000, 'num_leaves': 56, 'reg_alpha': np.float64(0.4393365018657701), 'reg_lambda': np.float64(1.1051576070061886), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.8545641645055122), 'subsample_freq': 1}",0.7992227710658488,0.7970862219387037,0.7689701757280752,0.7754588140998445,0.7852765784695058,0.7852029122603955,0.011800204242604983,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,5152,1.1134990215301515,0.005049556658390886,0.028328132629394532,0.0003515980183313873,0.6780971951192178,0.15449042305230107,5,8,10000,49,0.768554014306309,0.6308113152633013,3.0431888859825036,0.9761834337411657,1,"{'colsample_bytree': np.float64(0.6780971951192178), 'learning_rate': np.float64(0.15449042305230107), 'max_depth': 5, 'min_child_samples': 8, 'n_estimators': 10000, 'num_leaves': 49, 'reg_alpha': np.float64(0.768554014306309), 'reg_lambda': np.float64(0.6308113152633013), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.9761834337411657), 'subsample_freq': 1}",0.7924361628709455,0.8078790438937684,0.762997952911679,0.7856273748025445,0.7764395394137465,0.7850760147785367,0.015076361876605309,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,5152,2.693362665176392,0.01996205347247223,0.0944300651550293,0.000895989855947921,0.7103996728090174,0.06925470114081649,7,69,10000,103,0.9868869366005173,2.8167343078899725,3.0431888859825036,0.7173952698872152,1,"{'colsample_bytree': np.float64(0.7103996728090174), 'learning_rate': np.float64(0.06925470114081649), 'max_depth': 7, 'min_child_samples': 69, 'n_estimators': 10000, 'num_leaves': 103, 'reg_alpha': np.float64(0.9868869366005173), 'reg_lambda': np.float64(2.8167343078899725), 'scale_pos_weight': np.float64(3.0431888859825036), 'subsample': np.float64(0.7173952698872152), 'subsample_freq': 1}",0.7989409900200799,0.8041864698149459,0.7690631126684186,0.7738945987548203,0.7781975587284453,0.784856545997342,0.014042481642034027,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0
